year,glacier_extent,glacier_retreat
1979,6.903,0
1980,7.544,1
1981,6.903,0
1982,7.166,1
1983,7.221,1
1984,6.426,0
1985,6.491,1
1986,7.157,1
1987,6.963,0
1988,7.126,1
1989,6.907,0
1990,6.036,0
1991,6.302,1
1992,7.209,1
1993,6.184,0
1994,6.961,1
1995,6.027,0
1996,7.191,1
1997,6.628,0
1998,6.351,0
1999,5.757,0
2000,5.978,1
2001,6.603,1
2002,5.638,0
2003,6.007,1
2004,5.794,0
2005,5.319,0
2006,5.774,1
2007,4.155,0
2008,4.586,1
2009,5.119,1
2010,4.615,0
2011,4.344,0
2012,3.387,0
2013,5.054,1
2014,5.029,0
2015,4.433,0
2016,4.165,0
2017,4.665,1
2018,4.656,0
2019,4.192,0
2020,3.818,0
2021,4.72,1
2022,4.67,0
2023,4.37,0
