Year,SP.URB.TOTL.IN.ZS,SP.URB.TOTL,SP.URB.GROW,SP.POP.TOTL,SP.POP.GROW,EN.URB.MCTY.TL.ZS,SE.PRM.CMPT.ZS,BX.KLT.DINV.WD.GD.ZS,AG.YLD.CREL.KG
1972,36.92017428,1418592514,2.600354543,3843630361,2.008511611,15.86421545,72.8033905,0.423370746,1953.469567
1973,37.1534284,1455932571,2.632190473,3920044841,1.988080872,15.96900443,72.77797699,0.459476256,1985.437886
1974,37.41781378,1494670627,2.660703989,3995920225,1.93557439,16.08638578,76.34989166,0.485731598,1966.867747
1975,37.64941332,1531821571,2.485560586,4070060140,1.855390269,16.16953764,78.53935242,0.465997502,2080.389637
1976,37.90999431,1570112560,2.49970295,4143135434,1.795435239,16.28807003,77.74796295,0.322543549,2088.677693
1977,38.17618,1608892826,2.469903559,4215876682,1.75570529,16.41363925,78.07148743,0.386663136,2135.934672
1978,38.51183305,1651513914,2.649094291,4289852068,1.754685717,16.54755487,78.47325897,0.406415218,2296.366945
1979,38.91554118,1698369060,2.837102709,4365802882,1.770476296,16.68224258,77.90104675,0.428141868,2331.57551
1980,39.33013771,1746580426,2.838686075,4442416674,1.754861456,16.82278479,80.02082062,0.49071524,2297.40845
1981,39.75515946,1796677728,2.868307766,4520993169,1.76877814,16.92919916,80.55016327,0.617122712,2438.721357
1982,40.13364289,1846593203,2.778209705,4602785312,1.809163163,17.01146721,81.22509766,0.582042808,2534.288004
1983,40.47647802,1895614911,2.654710735,4684967631,1.785491033,17.11440709,81.32512665,0.464211283,2443.624766
1984,40.8318426,1945629370,2.638429288,4766740755,1.745436264,17.2293356,82.0977478,0.498127796,2691.791183
1985,41.18982871,1997039091,2.642318305,4850182355,1.750495869,17.35030032,82.37095642,0.353032305,2695.359471
1986,41.55393267,2050383760,2.671188022,4936116651,1.771774538,17.47928057,82.41322327,0.569314664,2690.086521
1987,41.92086473,2105481918,2.687211978,5024401475,1.788548169,17.61538096,81.8844223,0.848934735,2677.487523
1988,42.28779246,2161571527,2.663979611,5113495865,1.773233895,17.75353713,82.06479645,0.895475079,2600.408102
1989,42.64445883,2217822837,2.602333964,5202686551,1.744221338,17.90105112,81.51621246,1.029578726,2754.995666
1990,43.00390937,2275554162,2.60306297,5293498452,1.745480919,18.06063933,81.03691864,1.093274059,2870.949132
1991,43.37202778,2333679748,2.554348605,5382640911,1.683998962,18.23107315,80.26496887,0.763142406,2859.41727
1992,43.73668663,2391611043,2.48240124,5470271607,1.628024188,18.38395563,79.46720886,0.738489587,2775.591612
1993,44.09527832,2449329147,2.413356644,5556732311,1.580555962,18.54645489,79.62127686,0.901322301,2735.201254
1994,44.45685068,2507375113,2.369872015,5642156981,1.537318431,18.72784834,79.05303192,0.9990931,2818.809959
1995,44.81722276,2565641717,2.323808819,5726848893,1.501055577,18.92943881,80.74252319,1.171079512,2758.086092
1996,45.17462044,2624415865,2.290816664,5811694918,1.48154817,19.14960022,79.99234009,1.312063919,2938.75995
1997,45.53720498,2683935843,2.267932411,5896174827,1.453619128,19.37467737,80.08397675,1.670155284,2987.78597
1998,45.90612068,2744144620,2.243301648,5979851049,1.419161142,19.61994248,80.12812042,2.482252439,3060.087416
1999,46.27746966,2804645014,2.204708657,6062415429,1.380709642,19.8885967,80.15480804,3.65753537,3099.407412
2000,46.65785772,2866001759,2.1876831,6144444748,1.353079807,20.18336222,80.66892242,4.608629992,3069.188925
2001,47.10304488,2931983907,2.302236828,6226487141,1.335228753,20.38515439,81.42693329,2.660288164,3126.78362
2002,47.5926182,3001384028,2.367002112,6308284566,1.313701019,20.55049127,82.14253235,2.139939983,3101.76671
2003,48.0839616,3071469538,2.335106382,6389592840,1.28891259,20.72462357,82.64095306,1.859091894,3094.621704
2004,48.5829023,3142909966,2.3259364,6471033757,1.274586958,20.90375283,83.44090271,2.224744052,3373.077844
2005,49.08804005,3215722483,2.316722967,6552787172,1.263374881,21.08946955,84.51535797,3.262417717,3262.695741
2006,49.58826094,3289343431,2.289406141,6635162568,1.257104707,21.28282626,85.03605652,4.225639455,3307.428616
2007,50.08182892,3363364677,2.250334985,6717583637,1.242186128,21.48000438,86.21764374,5.292704503,3373.139243
2008,50.58832705,3439795198,2.272442281,6801421733,1.248039482,21.69807707,88.00308228,3.741996085,3537.643099
2009,51.08693317,3516709559,2.236015709,6885608628,1.23778378,21.92592464,88.83596802,2.261715608,3555.476627
2010,51.57621202,3593864334,2.193947885,6969894715,1.224090586,22.15356904,88.53421783,2.807342259,3546.90743
2011,52.02181355,3668657925,2.081146756,7053988749,1.206532343,22.34527479,87.67932892,3.138238634,3656.046481
2012,52.46128046,3745519184,2.095078379,7141430933,1.239613318,22.52107426,87.69400787,2.644611912,3614.792462
2013,52.90886747,3824043788,2.096494508,7229458453,1.232631399,22.70423401,87.8513031,2.666193017,3822.796275
2014,53.36457189,3903862061,2.087274033,7317304568,1.215113353,22.89863548,87.55177307,2.375488789,3896.249288
2015,53.82724997,3984523373,2.066192676,7404251118,1.18823194,23.11268572,87.2306366,3.595413434,3928.000855
2016,54.28606635,4065561612,2.033825163,7490956237,1.171018076,23.33538093,87.82032776,3.539225631,4008.427394
2017,54.73886802,4146625053,1.993905117,7577110140,1.150105544,23.55711323,87.6085968,2.663999597,4075.044067
2018,55.18762163,4227011393,1.938596786,7661177849,1.109495671,23.79521944,87.74307251,0.999458534,4035.038575
2019,55.6306125,4306311635,1.876035682,7742724795,1.064417869,24.00207414,87.48777771,2.077461965,4131.819598
2020,56.06473144,4383953178,1.802970839,7821271846,1.014462648,24.22227699,87.60629272,1.402678584,4100.768039
2021,56.47813121,4454512575,1.609492486,7888963821,0.865485516,24.47782637,88.38974762,2.321420824,4152.232718
2022,56.90195482,4523589075,1.550708385,7951595433,0.793914301,24.74808961,91.13854218,1.74342948,4182.38297
