year,glacier_retreat,CAN,DNK,FRO,FIN,GRL,ISL,IRL,SWE,GBR,USA
1979,0,-0.214,-1.191,-0.873,-0.755,0.498,-1.239,-0.687,-1.091,-0.781,-0.306
1980,1,0.917,-0.441,0.041,-0.38,0.919,0.407,-0.057,-0.569,-0.022,0.412
1981,0,1.562,0.3,-0.364,-0.24,-0.36,-0.909,0.377,-0.228,0.176,0.871
1982,1,-0.673,0.002,0.223,-0.155,-0.642,-0.258,0.154,-0.134,0.118,-0.343
1983,1,0.488,1.06,-0.266,0.964,-2.062,-0.863,0.408,0.911,0.348,0.54
1984,0,0.337,0.379,0.489,0.757,-1.455,0.204,0.336,0.583,0.337,-0.233
1985,1,-0.311,-1.004,-0.118,-1.177,0.891,0.164,-0.439,-1.036,-0.522,-0.025
1986,1,0.011,-0.444,-0.119,-0.181,0.381,-0.077,-0.726,-0.493,-0.594,0.584
1987,0,1.34,-0.985,0.221,-1.652,-0.121,0.685,-0.143,-1.201,-0.283,0.913
1988,1,1.204,0.925,0.303,0.579,0.513,-0.088,0.246,0.726,0.307,0.471
1989,0,0.017,1.803,0.53,2.179,-1.537,-0.174,1.054,1.998,1.145,0.324
1990,0,0.078,1.843,0.801,1.249,-0.348,0.169,0.829,1.692,1.016,0.674
1991,1,0.336,0.616,1.113,1.138,-0.291,0.766,0.199,1.025,0.21,0.527
1992,1,0.1,1.452,0.812,1.165,-1.228,0.231,0.446,1.374,0.522,0.395
1993,0,0.342,0.235,-0.053,0.937,-1.355,0.225,0.064,0.806,-0.015,0.004
1994,1,0.467,0.967,-0.172,0.146,-0.425,-0.108,0.282,0.195,0.413,0.466
1995,0,0.938,1.304,-0.31,1.701,-0.328,-0.33,1.198,1.263,1.119,0.63
1996,1,-0.125,-0.753,0.202,0.137,0.667,0.562,-0.006,-0.164,-0.142,-0.011
1997,0,0.426,0.651,0.755,0.783,0.391,0.436,0.977,0.981,0.882,0.384
1998,0,2.47,0.869,0.553,0.071,1.269,0.238,0.937,0.561,0.86,1.272
1999,0,1.694,1.334,0.469,1.159,0.522,0.471,1.077,1.362,1.133,0.758
2000,1,1.291,1.719,0.188,2.024,0.839,0.274,0.577,1.721,0.724,1
2001,1,1.421,1.044,0.461,1.365,0.831,0.584,0.551,1.071,0.631,0.786
2002,0,0.54,1.652,1.034,1.171,1.186,0.784,0.83,1.566,1.011,0.951
2003,1,1.24,0.707,1.604,0.713,2.328,1.784,1.024,0.914,1.194,0.99
2004,0,0.485,1.032,1.019,1.233,1.469,1.235,0.9,1.198,1.035,0.863
2005,0,1.282,1.282,0.487,2.201,1.878,0.448,1.175,1.825,1.116,1.153
2006,1,2.343,1.349,1.136,1.204,1.717,1.032,1.159,1.485,1.25,1.026
2007,0,1.333,2.136,0.952,1.946,1.363,1.101,1.345,1.938,1.332,1.143
2008,1,0.851,1.853,0.89,2.13,0.959,0.753,0.836,1.954,0.838,0.212
2009,1,0.539,1.32,1.441,1.695,0.851,0.907,0.804,1.432,0.948,0.398
2010,0,2.915,-0.199,0.26,0.242,3.058,1.147,-0.104,-0.279,-0.05,0.695
2011,0,1.438,0.677,1.055,1.354,1.684,0.959,0.559,1.267,0.851,0.537
2012,0,2.144,1.139,0.359,1.54,1.625,0.667,0.705,1.313,0.576,1.448
2013,1,1.182,0.397,0.597,1.424,1.381,0.687,0.568,0.857,0.364,0.614
2014,0,0.288,2.677,1.764,2.591,1.447,1.66,1.357,2.704,1.718,0.501
2015,0,1.231,1.516,0.813,2.613,0.205,0.419,0.449,2.069,0.614,1.531
2016,0,2.373,1.852,0.803,2.151,2.381,1.411,1.04,1.841,1.161,2.224
2017,1,1.48,1.619,1.49,1.487,1.21,1.694,1.264,1.588,1.424,1.433
2018,0,0.477,2.109,0.831,2.157,0.934,0.82,0.783,1.844,0.998,1.276
2019,0,1.311,2.18,0.877,1.452,2.206,1.339,1.201,1.568,1.231,1.034
2020,0,1.128,2.633,0.839,3.317,1.274,0.786,1.075,2.943,1.373,1.324
2021,1,2.515,1.69,1.012,1.938,2.482,0.921,1.019,1.846,0.929,1.144
2022,0,1.268,2.219,1.396,2.062,1.413,1.201,1.764,2.11,1.911,1.217
