,0
Year,0
AFG,0
ALB,0
DZA,0
ASM,3
AND,0
AGO,0
ATG,1
ARG,0
AUS,0
AUT,0
BHS,0
BHR,0
BGD,0
BRB,7
BLZ,0
BEN,0
BTN,0
BOL,0
BWA,0
BRA,0
VGB,0
BRN,0
BGR,0
BFA,0
CPV,5
KHM,0
CMR,0
CAN,0
CYM,5
CAF,0
TCD,0
CHL,0
HKG,0
MAC,0
CHN,0
COL,0
COM,1
COD,0
COG,1
CRI,12
CUB,0
CYP,0
DNK,0
DJI,1
DMA,0
DOM,0
ECU,0
EGY,0
SLV,0
GNQ,2
SWZ,0
FRO,0
FJI,0
FIN,0
FRA,0
PYF,0
GAB,0
GMB,0
DEU,0
GHA,0
GIB,0
GRC,0
GRL,0
GRD,0
GTM,0
GIN,0
GNB,0
GUY,0
HTI,0
HND,0
HUN,0
ISL,0
IND,0
IDN,0
IRN,0
IRQ,0
IRL,0
IMN,0
ISR,0
ITA,0
JAM,3
JPN,0
JOR,0
KEN,0
KIR,4
PRK,0
KOR,0
KWT,0
LAO,0
LBN,0
LSO,0
LBR,0
LBY,0
LIE,0
MDG,0
MWI,0
MYS,0
MDV,0
MLI,0
MLT,0
MRT,0
MUS,0
MEX,0
MCO,0
MNG,0
MAR,0
MOZ,0
MMR,0
NAM,0
NPL,0
NLD,0
NCL,0
NZL,0
NIC,0
NER,0
NGA,0
NOR,0
OMN,0
PAK,0
PAN,0
PNG,0
PRY,0
PER,0
PHL,0
POL,0
PRT,0
PRI,0
QAT,0
ROU,0
WSM,3
SMR,0
STP,4
SAU,0
SEN,0
SYC,0
SLE,1
SLB,9
SOM,0
ZAF,0
ESP,0
LKA,0
KNA,1
LCA,0
VCT,0
SUR,0
SWE,0
CHE,0
SYR,0
TZA,0
THA,0
TLS,10
TGO,0
TON,0
TTO,0
TUN,0
TCA,6
TUV,2
UGA,0
ARE,0
GBR,0
USA,0
VIR,0
URY,0
VUT,0
VEN,0
VNM,0
PSE,0
WLD,0
ZMB,0
ZWE,0
